fog,thresh,video,frame,x,y,w,h,class
0.050000,0.400000,videoplayback_001_1.webm,1,97,149,35,36,speedLimitUrdbl
0.050000,0.400000,videoplayback_001_1.webm,2,66,143,48,39,signalAhead
0.050000,0.400000,videoplayback_001_1.webm,3,48,136,52,47,stop
0.050000,0.400000,videoplayback_001_1.webm,4,31,131,41,38,speedLimitUrdbl
0.050000,0.400000,videoplayback_001_1.webm,4,23,124,60,52,stop
0.050000,0.400000,videoplayback_001_1.webm,5,-1,109,47,68,speedLimitUrdbl
0.050000,0.400000,videoplayback_001_1.webm,33,139,115,25,28,stopAhead
0.050000,0.400000,videoplayback_001_1.webm,35,125,107,28,32,stopAhead
0.050000,0.400000,videoplayback_001_1.webm,36,115,104,29,33,pedestrianCrossing
0.050000,0.400000,videoplayback_001_1.webm,37,109,99,31,37,stopAhead
0.050000,0.400000,videoplayback_001_1.webm,38,106,99,29,35,stopAhead
0.050000,0.400000,videoplayback_001_1.webm,39,96,93,31,38,stopAhead
0.050000,0.400000,videoplayback_001_1.webm,42,520,155,21,23,speedLimit55
0.050000,0.400000,videoplayback_001_1.webm,43,524,154,25,27,speedLimit35
0.050000,0.400000,videoplayback_001_1.webm,44,533,153,27,29,speedLimit35
0.050000,0.400000,videoplayback_001_1.webm,45,545,151,20,22,speedLimit35
0.050000,0.400000,videoplayback_001_1.webm,46,561,153,20,22,speedLimit35
0.050000,0.400000,videoplayback_001_1.webm,49,615,148,19,21,speedLimit35
0.050000,0.400000,videoplayback_001_1.webm,50,631,152,22,22,speedLimit35
0.050000,0.400000,videoplayback_001_1.webm,50,627,149,32,31,speedLimitUrdbl
0.050000,0.400000,videoplayback_001_1.webm,51,642,138,44,38,schoolSpeedLimit25
0.050000,0.400000,videoplayback_001_1.webm,118,203,161,19,25,signalAhead
0.050000,0.400000,videoplayback_001_1.webm,119,201,160,21,26,signalAhead
0.050000,0.400000,videoplayback_001_1.webm,120,197,158,24,28,signalAhead
0.050000,0.400000,videoplayback_001_1.webm,121,193,156,26,29,signalAhead
0.050000,0.400000,videoplayback_001_1.webm,123,186,155,27,29,merge
0.050000,0.400000,videoplayback_001_1.webm,124,183,153,26,30,merge
0.050000,0.400000,videoplayback_001_1.webm,125,178,152,28,30,merge
0.050000,0.400000,videoplayback_001_1.webm,126,175,151,29,30,merge
0.050000,0.400000,videoplayback_001_1.webm,127,172,149,30,32,signalAhead
0.050000,0.400000,videoplayback_001_1.webm,128,170,149,30,31,noLeftTurn
0.050000,0.400000,videoplayback_001_1.webm,129,168,149,28,30,noLeftTurn
0.050000,0.400000,videoplayback_001_1.webm,130,165,148,29,31,turnRight
0.050000,0.400000,videoplayback_001_1.webm,131,164,149,28,27,laneEnds
0.050000,0.400000,videoplayback_001_1.webm,132,159,148,29,28,laneEnds
0.050000,0.400000,videoplayback_001_1.webm,133,154,146,29,30,laneEnds
