"","thresh","video","frame","x","y","w","h","class","fog","overlap"
"2130",0.4,"videoplayback_001_1.webm",1,100,154,26,29,"doNotPass",0,FALSE
"2131",0.4,"videoplayback_001_1.webm",2,72,149,37,31,"stop",0,FALSE
"2132",0.4,"videoplayback_001_1.webm",3,56,148,32,29,"doNotPass",0,FALSE
"2133",0.4,"videoplayback_001_1.webm",4,43,142,25,27,"keepRight",0,FALSE
"2134",0.4,"videoplayback_001_1.webm",18,355,163,19,21,"signalAhead",0,FALSE
"2135",0.4,"videoplayback_001_1.webm",19,356,163,19,21,"signalAhead",0,FALSE
"2136",0.4,"videoplayback_001_1.webm",20,359,163,20,21,"speedLimitUrdbl",0,FALSE
"2137",0.4,"videoplayback_001_1.webm",21,363,163,19,20,"signalAhead",0,FALSE
"2138",0.4,"videoplayback_001_1.webm",24,360,164,16,18,"signalAhead",0,FALSE
"2139",0.4,"videoplayback_001_1.webm",31,362,162,15,18,"signalAhead",0,FALSE
"2140",0.4,"videoplayback_001_1.webm",32,363,162,15,19,"signalAhead",0,FALSE
"2141",0.4,"videoplayback_001_1.webm",46,374,156,19,17,"addedLane",0,FALSE
"2142",0.4,"videoplayback_001_1.webm",47,375,156,17,17,"school",0,FALSE
"2143",0.4,"videoplayback_001_1.webm",48,378,157,17,16,"school",0,FALSE
"2144",0.4,"videoplayback_001_1.webm",49,377,155,17,18,"school",0,FALSE
"2145",0.4,"videoplayback_001_1.webm",49,618,148,14,15,"pedestrianCrossing",0,TRUE
"2146",0.4,"videoplayback_001_1.webm",50,378,154,20,20,"school",0,FALSE
"2147",0.4,"videoplayback_001_1.webm",50,635,152,18,17,"schoolSpeedLimit25",0,TRUE
"2148",0.4,"videoplayback_001_1.webm",51,378,155,20,20,"signalAhead",0,FALSE
"2149",0.4,"videoplayback_001_1.webm",51,651,145,30,24,"schoolSpeedLimit25",0,TRUE
"2150",0.4,"videoplayback_001_1.webm",52,379,155,19,20,"signalAhead",0,FALSE
"2151",0.4,"videoplayback_001_1.webm",53,381,154,19,22,"signalAhead",0,FALSE
"2152",0.4,"videoplayback_001_1.webm",54,382,152,18,24,"signalAhead",0,FALSE
"2153",0.4,"videoplayback_001_1.webm",55,384,152,17,23,"signalAhead",0,FALSE
"2154",0.4,"videoplayback_001_1.webm",56,385,152,18,23,"signalAhead",0,FALSE
"2155",0.4,"videoplayback_001_1.webm",57,386,151,18,22,"signalAhead",0,FALSE
"2156",0.4,"videoplayback_001_1.webm",58,386,151,18,21,"signalAhead",0,FALSE
"2157",0.4,"videoplayback_001_1.webm",59,388,150,19,23,"school",0,FALSE
"2158",0.4,"videoplayback_001_1.webm",63,412,142,21,27,"signalAhead",0,FALSE
"2159",0.4,"videoplayback_001_1.webm",64,411,141,21,29,"signalAhead",0,FALSE
"2160",0.4,"videoplayback_001_1.webm",65,414,140,21,28,"signalAhead",0,FALSE
"2161",0.4,"videoplayback_001_1.webm",66,413,141,21,28,"merge",0,FALSE
"2162",0.4,"videoplayback_001_1.webm",67,413,143,20,27,"signalAhead",0,FALSE
"2163",0.4,"videoplayback_001_1.webm",68,413,142,21,29,"rampSpeedAdvisory50",0,FALSE
"2164",0.4,"videoplayback_001_1.webm",69,418,140,18,28,"merge",0,FALSE
"2165",0.4,"videoplayback_001_1.webm",70,417,140,19,26,"rampSpeedAdvisory50",0,FALSE
"2166",0.4,"videoplayback_001_1.webm",71,417,138,21,27,"rampSpeedAdvisory50",0,FALSE
"2167",0.4,"videoplayback_001_1.webm",72,419,138,20,27,"rampSpeedAdvisory50",0,FALSE
"2168",0.4,"videoplayback_001_1.webm",73,420,136,23,29,"rampSpeedAdvisory50",0,FALSE
"2169",0.4,"videoplayback_001_1.webm",74,426,136,21,28,"rampSpeedAdvisory50",0,FALSE
"2170",0.4,"videoplayback_001_1.webm",75,430,135,22,29,"rampSpeedAdvisory50",0,FALSE
"2171",0.4,"videoplayback_001_1.webm",76,434,135,22,30,"rampSpeedAdvisory50",0,FALSE
"2172",0.4,"videoplayback_001_1.webm",77,436,134,21,29,"rampSpeedAdvisory50",0,FALSE
"2173",0.4,"videoplayback_001_1.webm",78,440,133,21,29,"rampSpeedAdvisory50",0,FALSE
"2174",0.4,"videoplayback_001_1.webm",79,443,131,23,31,"rampSpeedAdvisory50",0,FALSE
"2175",0.4,"videoplayback_001_1.webm",80,447,130,21,30,"rampSpeedAdvisory50",0,FALSE
"2176",0.4,"videoplayback_001_1.webm",123,195,157,18,23,"merge",0,FALSE
"2177",0.4,"videoplayback_001_1.webm",124,192,155,18,25,"merge",0,FALSE
"2178",0.4,"videoplayback_001_1.webm",125,187,154,20,25,"merge",0,FALSE
"2179",0.4,"videoplayback_001_1.webm",126,184,153,20,25,"merge",0,FALSE
"2180",0.4,"videoplayback_001_1.webm",127,180,151,21,27,"merge",0,FALSE
"2181",0.4,"videoplayback_001_1.webm",128,179,152,21,25,"merge",0,FALSE
"2182",0.4,"videoplayback_001_1.webm",129,174,151,20,27,"merge",0,FALSE
"2183",0.4,"videoplayback_001_1.webm",130,171,150,22,27,"merge",0,FALSE
"2184",0.4,"videoplayback_001_1.webm",131,168,150,23,26,"merge",0,FALSE
"2185",0.4,"videoplayback_001_1.webm",132,162,149,25,27,"addedLane",0,FALSE
"2186",0.4,"videoplayback_001_1.webm",133,159,148,22,28,"merge",0,FALSE
"2187",0.4,"videoplayback_001_1.webm",134,156,149,21,25,"pedestrianCrossing",0,FALSE
"2188",0.4,"videoplayback_001_1.webm",135,151,149,20,26,"pedestrianCrossing",0,FALSE
"2189",0.4,"videoplayback_001_1.webm",136,144,148,23,27,"pedestrianCrossing",0,FALSE
"2190",0.4,"videoplayback_001_1.webm",137,137,148,22,25,"addedLane",0,FALSE
"2191",0.4,"videoplayback_001_1.webm",138,132,147,21,25,"addedLane",0,FALSE
"2192",0.4,"videoplayback_001_1.webm",139,123,144,24,28,"addedLane",0,FALSE
"2193",0.4,"videoplayback_001_1.webm",140,117,140,27,32,"addedLane",0,FALSE
"2194",0.4,"videoplayback_001_1.webm",141,108,137,27,34,"addedLane",0,FALSE
"2195",0.4,"videoplayback_001_1.webm",142,100,132,29,40,"addedLane",0,FALSE
"2196",0.4,"videoplayback_001_1.webm",143,91,129,29,42,"addedLane",0,FALSE
"2197",0.4,"videoplayback_001_1.webm",144,84,126,39,41,"merge",0,FALSE
"2198",0.4,"videoplayback_001_1.webm",145,71,125,34,38,"addedLane",0,FALSE
"2199",0.4,"videoplayback_001_1.webm",146,58,119,46,44,"addedLane",0,FALSE
"2200",0.4,"videoplayback_001_1.webm",148,31,111,63,59,"addedLane",0,FALSE
"2201",0.4,"videoplayback_001_1.webm",149,16,106,59,64,"addedLane",0,FALSE
"2202",0.4,"videoplayback_001_1.webm",150,8,98,56,70,"pedestrianCrossing",0,FALSE
"2203",0.4,"videoplayback_001_1.webm",151,3,94,42,73,"signalAhead",0,FALSE
"2204",0.4,"videoplayback_001_1.webm",152,4,96,27,66,"signalAhead",0,FALSE
"2205",0.4,"videoplayback_001_2.webm",8,483,182,12,15,"schoolSpeedLimit25",0,FALSE
"2206",0.4,"videoplayback_001_2.webm",11,500,180,12,17,"schoolSpeedLimit25",0,FALSE
"2207",0.4,"videoplayback_001_2.webm",12,517,171,15,21,"stopAhead",0,FALSE
"2208",0.4,"videoplayback_001_2.webm",13,250,186,12,17,"pedestrianCrossing",0,FALSE
"2209",0.4,"videoplayback_001_2.webm",13,526,172,14,19,"schoolSpeedLimit25",0,TRUE
"2210",0.4,"videoplayback_001_2.webm",14,250,186,14,17,"school",0,FALSE
"2211",0.4,"videoplayback_001_2.webm",15,248,187,17,18,"merge",0,FALSE
"2212",0.4,"videoplayback_001_2.webm",16,242,184,22,22,"turnLeft",0,FALSE
"2213",0.4,"videoplayback_001_2.webm",16,565,157,22,27,"pedestrianCrossing",0,TRUE
"2214",0.4,"videoplayback_001_2.webm",17,242,183,20,21,"turnRight",0,FALSE
"2215",0.4,"videoplayback_001_2.webm",17,576,160,22,25,"signalAhead",0,TRUE
"2216",0.4,"videoplayback_001_2.webm",18,241,180,19,25,"signalAhead",0,FALSE
"2217",0.4,"videoplayback_001_2.webm",19,238,177,22,29,"signalAhead",0,FALSE
"2218",0.4,"videoplayback_001_2.webm",19,607,153,29,34,"rampSpeedAdvisory50",0,TRUE
"2219",0.4,"videoplayback_001_2.webm",20,235,176,21,30,"signalAhead",0,FALSE
"2220",0.4,"videoplayback_001_2.webm",20,630,146,35,47,"rampSpeedAdvisory50",0,TRUE
"2221",0.4,"videoplayback_001_2.webm",21,232,176,26,29,"signalAhead",0,FALSE
"2222",0.4,"videoplayback_001_2.webm",21,651,140,43,48,"signalAhead",0,TRUE
"2223",0.4,"videoplayback_001_2.webm",22,227,174,29,29,"signalAhead",0,FALSE
"2224",0.4,"videoplayback_001_2.webm",22,676,140,27,46,"rampSpeedAdvisory50",0,TRUE
"2225",0.4,"videoplayback_001_2.webm",23,228,174,24,30,"signalAhead",0,FALSE
"2226",0.4,"videoplayback_001_2.webm",24,227,172,23,33,"signalAhead",0,FALSE
"2227",0.4,"videoplayback_001_2.webm",25,225,173,24,32,"signalAhead",0,FALSE
"2228",0.4,"videoplayback_001_2.webm",26,222,171,25,34,"signalAhead",0,FALSE
"2229",0.4,"videoplayback_001_2.webm",27,222,169,24,34,"signalAhead",0,FALSE
"2230",0.4,"videoplayback_001_2.webm",28,219,169,28,33,"signalAhead",0,FALSE
"2231",0.4,"videoplayback_001_2.webm",29,215,168,32,32,"pedestrianCrossing",0,FALSE
"2232",0.4,"videoplayback_001_2.webm",30,213,165,31,38,"signalAhead",0,FALSE
"2233",0.4,"videoplayback_001_2.webm",31,209,166,32,34,"signalAhead",0,FALSE
"2234",0.4,"videoplayback_001_2.webm",32,207,167,31,32,"signalAhead",0,FALSE
"2235",0.4,"videoplayback_001_2.webm",33,204,164,31,34,"signalAhead",0,FALSE
"2236",0.4,"videoplayback_001_2.webm",34,201,161,33,37,"pedestrianCrossing",0,FALSE
"2237",0.4,"videoplayback_001_2.webm",35,197,160,35,35,"pedestrianCrossing",0,FALSE
"2238",0.4,"videoplayback_001_2.webm",36,193,158,35,36,"pedestrianCrossing",0,FALSE
"2239",0.4,"videoplayback_001_2.webm",37,191,157,36,37,"pedestrianCrossing",0,FALSE
"2240",0.4,"videoplayback_001_2.webm",38,188,154,38,39,"pedestrianCrossing",0,FALSE
"2241",0.4,"videoplayback_001_2.webm",39,184,153,38,39,"pedestrianCrossing",0,FALSE
"2242",0.4,"videoplayback_001_2.webm",40,183,153,37,35,"pedestrianCrossing",0,FALSE
"2243",0.4,"videoplayback_001_2.webm",41,178,152,37,34,"pedestrianCrossing",0,FALSE
"2244",0.4,"videoplayback_001_2.webm",42,171,151,38,33,"pedestrianCrossing",0,FALSE
"2245",0.4,"videoplayback_001_2.webm",43,164,147,40,37,"pedestrianCrossing",0,FALSE
"2246",0.4,"videoplayback_001_2.webm",44,155,146,48,38,"pedestrianCrossing",0,FALSE
"2247",0.4,"videoplayback_001_2.webm",45,148,146,42,36,"pedestrianCrossing",0,FALSE
"2248",0.4,"videoplayback_001_2.webm",46,139,143,48,39,"pedestrianCrossing",0,FALSE
"2249",0.4,"videoplayback_001_2.webm",47,131,142,49,39,"pedestrianCrossing",0,FALSE
"2250",0.4,"videoplayback_001_2.webm",48,121,135,48,42,"pedestrianCrossing",0,FALSE
"2251",0.4,"videoplayback_001_2.webm",49,113,129,50,46,"pedestrianCrossing",0,FALSE
"2252",0.4,"videoplayback_001_2.webm",50,94,121,66,58,"pedestrianCrossing",0,FALSE
"2253",0.4,"videoplayback_001_2.webm",51,77,112,74,67,"pedestrianCrossing",0,FALSE
