video,frame,oldclass,signname,newclass
videoplayback_001_1.webm,1,doNotPass,Camel,slow
videoplayback_001_1.webm,2,stop,Camel,turnRight
videoplayback_001_1.webm,3,doNotPass,Camel,pedestrianCrossing
videoplayback_001_1.webm,4,keepRight,Camel,turnRight
videoplayback_001_1.webm,18,signalAhead,Camel,signalAhead
videoplayback_001_1.webm,19,signalAhead,Camel,signalAhead
videoplayback_001_1.webm,20,speedLimitUrdbl,Camel,slow
videoplayback_001_1.webm,21,signalAhead,Camel,turnRight
videoplayback_001_1.webm,24,signalAhead,Camel,turnRight
videoplayback_001_1.webm,31,signalAhead,Camel,slow
videoplayback_001_1.webm,32,signalAhead,Camel,slow
videoplayback_001_1.webm,46,addedLane,Camel,turnRight
videoplayback_001_1.webm,47,school,Camel,pedestrianCrossing
videoplayback_001_1.webm,48,school,Camel,turnRight
videoplayback_001_1.webm,49,school,Camel,school
videoplayback_001_1.webm,49,school,Camel,pedestrianCrossing
videoplayback_001_1.webm,50,school,Camel,school
videoplayback_001_1.webm,50,school,Camel,schoolSpeedLimit25
videoplayback_001_1.webm,51,signalAhead,Camel,signalAhead
videoplayback_001_1.webm,51,signalAhead,Camel,schoolSpeedLimit25
videoplayback_001_1.webm,52,signalAhead,Camel,slow
videoplayback_001_1.webm,53,signalAhead,Camel,pedestrianCrossing
videoplayback_001_1.webm,54,signalAhead,Camel,pedestrianCrossing
videoplayback_001_1.webm,55,signalAhead,Camel,slow
videoplayback_001_1.webm,56,signalAhead,Camel,slow
videoplayback_001_1.webm,57,signalAhead,Camel,turnRight
videoplayback_001_1.webm,58,signalAhead,Camel,slow
videoplayback_001_1.webm,59,school,Camel,turnRight
videoplayback_001_1.webm,63,signalAhead,Camel,signalAhead
videoplayback_001_1.webm,64,signalAhead,Camel,signalAhead
videoplayback_001_1.webm,65,signalAhead,Camel,signalAhead
videoplayback_001_1.webm,66,merge,Camel,pedestrianCrossing
videoplayback_001_1.webm,67,signalAhead,Camel,dip
videoplayback_001_1.webm,68,rampSpeedAdvisory50,Camel,dip
videoplayback_001_1.webm,69,merge,Camel,slow
videoplayback_001_1.webm,70,rampSpeedAdvisory50,Camel,slow
videoplayback_001_1.webm,71,rampSpeedAdvisory50,Camel,turnRight
videoplayback_001_1.webm,72,rampSpeedAdvisory50,Camel,slow
videoplayback_001_1.webm,73,rampSpeedAdvisory50,Camel,slow
videoplayback_001_1.webm,74,rampSpeedAdvisory50,Camel,slow
videoplayback_001_1.webm,75,rampSpeedAdvisory50,Camel,slow
videoplayback_001_1.webm,76,rampSpeedAdvisory50,Camel,slow
videoplayback_001_1.webm,77,rampSpeedAdvisory50,Camel,slow
videoplayback_001_1.webm,78,rampSpeedAdvisory50,Camel,slow
videoplayback_001_1.webm,79,rampSpeedAdvisory50,Camel,slow
videoplayback_001_1.webm,80,rampSpeedAdvisory50,Camel,slow
videoplayback_001_1.webm,124,merge,Camel,slow
videoplayback_001_1.webm,125,merge,Camel,slow
videoplayback_001_1.webm,126,merge,Camel,slow
videoplayback_001_1.webm,127,merge,Camel,slow
videoplayback_001_1.webm,128,merge,Camel,slow
videoplayback_001_1.webm,129,merge,Camel,slow
videoplayback_001_1.webm,130,merge,Camel,slow
videoplayback_001_1.webm,131,merge,Camel,slow
videoplayback_001_1.webm,132,addedLane,Camel,slow
videoplayback_001_1.webm,133,merge,Camel,slow
videoplayback_001_1.webm,134,pedestrianCrossing,Camel,slow
videoplayback_001_1.webm,135,pedestrianCrossing,Camel,pedestrianCrossing
videoplayback_001_1.webm,135,pedestrianCrossing,Camel,slow
videoplayback_001_1.webm,136,pedestrianCrossing,Camel,slow
videoplayback_001_1.webm,137,addedLane,Camel,slow
videoplayback_001_1.webm,138,addedLane,Camel,slow
videoplayback_001_1.webm,139,addedLane,Camel,slow
videoplayback_001_1.webm,140,addedLane,Camel,slow
videoplayback_001_1.webm,141,addedLane,Camel,turnRight
videoplayback_001_1.webm,142,addedLane,Camel,slow
videoplayback_001_1.webm,143,addedLane,Camel,slow
videoplayback_001_1.webm,145,addedLane,Camel,slow
videoplayback_001_1.webm,146,addedLane,Camel,slow
videoplayback_001_1.webm,148,addedLane,Camel,slow
videoplayback_001_1.webm,150,pedestrianCrossing,Camel,slow
videoplayback_001_1.webm,151,signalAhead,Camel,slow
videoplayback_001_1.webm,152,signalAhead,Camel,slow
videoplayback_001_2.webm,12,stopAhead,Camel,signalAhead
videoplayback_001_2.webm,13,pedestrianCrossing,Camel,pedestrianCrossing
videoplayback_001_2.webm,13,pedestrianCrossing,Camel,schoolSpeedLimit25
videoplayback_001_2.webm,14,school,Camel,turnRight
videoplayback_001_2.webm,15,merge,Camel,turnRight
videoplayback_001_2.webm,16,turnLeft,Camel,turnLeft
videoplayback_001_2.webm,16,turnLeft,Camel,pedestrianCrossing
videoplayback_001_2.webm,16,pedestrianCrossing,Camel,stopAhead
videoplayback_001_2.webm,17,turnRight,Camel,turnRight
videoplayback_001_2.webm,17,turnRight,Camel,signalAhead
videoplayback_001_2.webm,17,signalAhead,Camel,schoolSpeedLimit25
videoplayback_001_2.webm,18,signalAhead,Camel,slow
videoplayback_001_2.webm,19,signalAhead,Camel,signalAhead
videoplayback_001_2.webm,19,signalAhead,Camel,rampSpeedAdvisory50
videoplayback_001_2.webm,19,rampSpeedAdvisory50,Camel,schoolSpeedLimit25
videoplayback_001_2.webm,20,signalAhead,Camel,signalAhead
videoplayback_001_2.webm,20,signalAhead,Camel,rampSpeedAdvisory50
videoplayback_001_2.webm,20,rampSpeedAdvisory50,Camel,schoolSpeedLimit25
videoplayback_001_2.webm,21,signalAhead,Camel,signalAhead
videoplayback_001_2.webm,21,signalAhead,Camel,signalAhead
videoplayback_001_2.webm,21,signalAhead,Camel,schoolSpeedLimit25
videoplayback_001_2.webm,21,signalAhead,Camel,rampSpeedAdvisory50
videoplayback_001_2.webm,22,signalAhead,Camel,signalAhead
videoplayback_001_2.webm,22,signalAhead,Camel,rampSpeedAdvisory50
videoplayback_001_2.webm,22,rampSpeedAdvisory50,Camel,turnLeft
videoplayback_001_2.webm,23,signalAhead,Camel,pedestrianCrossing
videoplayback_001_2.webm,24,signalAhead,Camel,pedestrianCrossing
videoplayback_001_2.webm,25,signalAhead,Camel,slow
videoplayback_001_2.webm,26,signalAhead,Camel,pedestrianCrossing
videoplayback_001_2.webm,27,signalAhead,Camel,slow
videoplayback_001_2.webm,28,signalAhead,Camel,slow
videoplayback_001_2.webm,29,pedestrianCrossing,Camel,slow
videoplayback_001_2.webm,30,signalAhead,Camel,slow
videoplayback_001_2.webm,31,signalAhead,Camel,slow
videoplayback_001_2.webm,32,signalAhead,Camel,slow
videoplayback_001_2.webm,33,signalAhead,Camel,slow
videoplayback_001_2.webm,34,pedestrianCrossing,Camel,slow
videoplayback_001_2.webm,35,pedestrianCrossing,Camel,slow
videoplayback_001_2.webm,36,pedestrianCrossing,Camel,slow
videoplayback_001_2.webm,37,pedestrianCrossing,Camel,slow
videoplayback_001_2.webm,38,pedestrianCrossing,Camel,slow
videoplayback_001_2.webm,40,pedestrianCrossing,Camel,slow
videoplayback_001_2.webm,41,pedestrianCrossing,Camel,slow
videoplayback_001_2.webm,42,pedestrianCrossing,Camel,slow
videoplayback_001_2.webm,43,pedestrianCrossing,Camel,slow
videoplayback_001_2.webm,44,pedestrianCrossing,Camel,slow
videoplayback_001_2.webm,45,pedestrianCrossing,Camel,slow
videoplayback_001_2.webm,46,pedestrianCrossing,Camel,slow
videoplayback_001_2.webm,47,pedestrianCrossing,Camel,slow
videoplayback_001_2.webm,48,pedestrianCrossing,Camel,slow
videoplayback_001_2.webm,49,pedestrianCrossing,Camel,slow
videoplayback_001_2.webm,50,pedestrianCrossing,Camel,slow
videoplayback_001_2.webm,51,pedestrianCrossing,Camel,slow
videoplayback_001_2.webm,53,pedestrianCrossing,Camel,slow
videoplayback_001_2.webm,54,pedestrianCrossing,Camel,slow
videoplayback_001_2.webm,55,pedestrianCrossing,Camel,slow
videoplayback_001_2.webm,56,pedestrianCrossing,Camel,slow
videoplayback_002_1.webm,3,turnRight,Camel,turnRight
videoplayback_002_1.webm,4,turnRight,Camel,slow
videoplayback_002_1.webm,5,turnRight,Camel,turnRight
videoplayback_002_1.webm,6,turnRight,Camel,slow
videoplayback_002_1.webm,7,turnRight,Camel,slow
videoplayback_002_1.webm,8,turnRight,Camel,slow
videoplayback_002_1.webm,9,turnRight,Camel,slow
videoplayback_002_1.webm,10,turnRight,Camel,slow
videoplayback_002_1.webm,11,turnRight,Camel,pedestrianCrossing
videoplayback_002_1.webm,12,turnRight,Camel,slow
videoplayback_002_1.webm,13,turnRight,Camel,slow
videoplayback_002_1.webm,14,addedLane,Camel,slow
videoplayback_002_1.webm,15,merge,Camel,slow
videoplayback_002_1.webm,16,merge,Camel,slow
videoplayback_002_1.webm,17,merge,Camel,slow
videoplayback_002_1.webm,18,merge,Camel,slow
videoplayback_002_1.webm,19,merge,Camel,slow
videoplayback_002_1.webm,20,merge,Camel,slow
videoplayback_002_1.webm,21,merge,Camel,merge
videoplayback_002_1.webm,21,merge,Camel,pedestrianCrossing
videoplayback_002_1.webm,22,merge,Camel,merge
videoplayback_002_1.webm,22,merge,Camel,pedestrianCrossing
videoplayback_002_1.webm,23,merge,Camel,dip
videoplayback_002_1.webm,24,merge,Camel,slow
videoplayback_002_1.webm,25,slow,Camel,slow
videoplayback_002_1.webm,25,slow,Camel,merge
videoplayback_002_1.webm,26,slow,Camel,slow
videoplayback_002_1.webm,26,slow,Camel,merge
videoplayback_002_1.webm,27,merge,Camel,slow
videoplayback_002_1.webm,28,addedLane,Camel,slow
videoplayback_002_1.webm,29,merge,Camel,slow
videoplayback_002_1.webm,30,dip,Camel,slow
videoplayback_002_1.webm,31,addedLane,Camel,slow
videoplayback_002_1.webm,32,merge,Camel,slow
videoplayback_002_1.webm,33,addedLane,Camel,slow
videoplayback_002_1.webm,34,addedLane,Camel,slow
videoplayback_002_1.webm,35,signalAhead,Camel,slow
videoplayback_002_1.webm,36,addedLane,Camel,slow
videoplayback_002_1.webm,37,addedLane,Camel,slow
videoplayback_002_1.webm,38,merge,Camel,slow
videoplayback_002_1.webm,39,merge,Camel,slow
videoplayback_002_1.webm,40,merge,Camel,slow
videoplayback_002_1.webm,41,merge,Camel,slow
videoplayback_002_1.webm,42,merge,Camel,pedestrianCrossing
videoplayback_002_1.webm,43,merge,Camel,pedestrianCrossing
videoplayback_002_1.webm,44,merge,Camel,pedestrianCrossing
videoplayback_002_1.webm,45,merge,Camel,signalAhead
videoplayback_002_1.webm,46,signalAhead,Camel,signalAhead
videoplayback_002_1.webm,47,merge,Camel,slow
videoplayback_002_1.webm,48,merge,Camel,slow
videoplayback_002_1.webm,49,rampSpeedAdvisory45,Camel,slow
videoplayback_002_1.webm,50,rampSpeedAdvisory45,Camel,addedLane
videoplayback_002_1.webm,50,merge,Camel,schoolSpeedLimit25
videoplayback_002_1.webm,59,pedestrianCrossing,Camel,slow
videoplayback_002_1.webm,61,turnRight,Camel,slow
videoplayback_002_1.webm,62,turnRight,Camel,slow
videoplayback_002_1.webm,63,turnRight,Camel,turnRight
videoplayback_002_1.webm,64,turnRight,Camel,slow
videoplayback_002_1.webm,65,turnRight,Camel,slow
videoplayback_002_1.webm,66,pedestrianCrossing,Camel,pedestrianCrossing
videoplayback_002_1.webm,66,pedestrianCrossing,Camel,signalAhead
videoplayback_002_1.webm,66,signalAhead,Camel,pedestrianCrossing
videoplayback_002_1.webm,67,pedestrianCrossing,Camel,pedestrianCrossing
videoplayback_002_1.webm,67,pedestrianCrossing,Camel,signalAhead
videoplayback_002_1.webm,68,pedestrianCrossing,Camel,pedestrianCrossing
videoplayback_002_1.webm,68,pedestrianCrossing,Camel,signalAhead
videoplayback_002_1.webm,68,signalAhead,Camel,turnRight
videoplayback_002_1.webm,69,pedestrianCrossing,Camel,pedestrianCrossing
videoplayback_002_1.webm,69,pedestrianCrossing,Camel,signalAhead
videoplayback_002_1.webm,70,slow,Camel,turnLeft
videoplayback_002_1.webm,70,slow,Camel,signalAhead
videoplayback_002_1.webm,70,turnLeft,Camel,pedestrianCrossing
videoplayback_002_1.webm,71,stopAhead,Camel,slow
videoplayback_002_1.webm,72,signalAhead,Camel,signalAhead
videoplayback_002_1.webm,72,signalAhead,Camel,signalAhead
videoplayback_002_1.webm,73,turnRight,Camel,slow
videoplayback_002_1.webm,74,turnRight,Camel,pedestrianCrossing
videoplayback_002_1.webm,75,turnRight,Camel,pedestrianCrossing
videoplayback_002_1.webm,76,turnRight,Camel,pedestrianCrossing
videoplayback_002_1.webm,77,turnRight,Camel,slow
videoplayback_002_1.webm,78,turnLeft,Camel,slow
videoplayback_002_1.webm,79,turnLeft,Camel,slow
videoplayback_002_1.webm,80,turnRight,Camel,turnLeft
videoplayback_002_1.webm,81,turnRight,Camel,slow
videoplayback_002_1.webm,82,pedestrianCrossing,Camel,slow
videoplayback_002_1.webm,83,turnRight,Camel,dip
videoplayback_002_1.webm,84,turnRight,Camel,slow
videoplayback_002_1.webm,85,turnRight,Camel,slow
videoplayback_002_1.webm,86,turnRight,Camel,slow
videoplayback_002_1.webm,88,turnRight,Camel,dip
videoplayback_002_2.webm,31,stop,Camel,pedestrianCrossing
videoplayback_002_2.webm,32,rightLaneMustTurn,Camel,pedestrianCrossing
videoplayback_002_2.webm,33,rightLaneMustTurn,Camel,pedestrianCrossing
