thresh,video,frame,x,y,w,h,class
0.200000,videoplayback_001_1.webm,1,100,154,26,29,doNotPass
0.200000,videoplayback_001_1.webm,1,632,215,18,22,speedLimitUrdbl
0.200000,videoplayback_001_1.webm,1,638,213,22,28,stop
0.200000,videoplayback_001_1.webm,2,72,149,37,31,stop
0.200000,videoplayback_001_1.webm,2,649,218,23,22,speedLimit50
0.200000,videoplayback_001_1.webm,2,660,213,23,33,stop
0.200000,videoplayback_001_1.webm,3,56,148,32,29,doNotPass
0.200000,videoplayback_001_1.webm,3,680,208,17,34,yield
0.200000,videoplayback_001_1.webm,4,43,142,25,27,keepRight
0.200000,videoplayback_001_1.webm,5,13,132,21,35,keepRight
0.200000,videoplayback_001_1.webm,5,4,123,19,47,zoneAhead45
0.200000,videoplayback_001_1.webm,16,350,163,15,18,signalAhead
0.200000,videoplayback_001_1.webm,16,357,164,16,19,signalAhead
0.200000,videoplayback_001_1.webm,17,350,164,16,18,signalAhead
0.200000,videoplayback_001_1.webm,17,356,164,18,19,signalAhead
0.200000,videoplayback_001_1.webm,18,349,163,17,20,signalAhead
0.200000,videoplayback_001_1.webm,18,355,163,19,21,signalAhead
0.200000,videoplayback_001_1.webm,19,350,163,17,20,signalAhead
0.200000,videoplayback_001_1.webm,19,356,163,19,21,signalAhead
0.200000,videoplayback_001_1.webm,20,354,163,17,20,signalAhead
0.200000,videoplayback_001_1.webm,20,359,163,20,21,speedLimitUrdbl
0.200000,videoplayback_001_1.webm,21,357,162,16,19,signalAhead
0.200000,videoplayback_001_1.webm,21,363,163,19,20,signalAhead
0.200000,videoplayback_001_1.webm,22,358,162,13,17,signalAhead
0.200000,videoplayback_001_1.webm,22,366,163,15,17,signalAhead
0.200000,videoplayback_001_1.webm,23,355,162,13,17,merge
0.200000,videoplayback_001_1.webm,23,361,164,15,17,signalAhead
0.200000,videoplayback_001_1.webm,24,354,163,14,18,merge
0.200000,videoplayback_001_1.webm,24,360,164,16,18,signalAhead
0.200000,videoplayback_001_1.webm,25,354,162,13,17,addedLane
0.200000,videoplayback_001_1.webm,25,360,164,14,17,signalAhead
0.200000,videoplayback_001_1.webm,26,165,134,14,20,signalAhead
0.200000,videoplayback_001_1.webm,26,174,137,12,16,rampSpeedAdvisory50
0.200000,videoplayback_001_1.webm,26,356,160,12,18,pedestrianCrossing
0.200000,videoplayback_001_1.webm,26,364,162,13,17,signalAhead
0.200000,videoplayback_001_1.webm,27,169,133,12,17,signalAhead
0.200000,videoplayback_001_1.webm,27,357,159,13,19,pedestrianCrossing
0.200000,videoplayback_001_1.webm,27,364,162,14,17,signalAhead
0.200000,videoplayback_001_1.webm,28,359,160,12,18,merge
0.200000,videoplayback_001_1.webm,28,366,162,14,17,signalAhead
0.200000,videoplayback_001_1.webm,29,360,161,13,18,merge
0.200000,videoplayback_001_1.webm,29,367,163,15,17,signalAhead
0.200000,videoplayback_001_1.webm,30,358,160,12,19,signalAhead
0.200000,videoplayback_001_1.webm,30,364,162,14,18,signalAhead
0.200000,videoplayback_001_1.webm,31,358,160,13,18,signalAhead
0.200000,videoplayback_001_1.webm,31,362,162,15,18,signalAhead
0.200000,videoplayback_001_1.webm,32,358,160,12,19,signalAhead
0.200000,videoplayback_001_1.webm,32,363,162,15,19,signalAhead
0.200000,videoplayback_001_1.webm,33,135,119,15,18,pedestrianCrossing
0.200000,videoplayback_001_1.webm,33,135,116,22,28,signalAhead
0.200000,videoplayback_001_1.webm,33,358,159,12,19,signalAhead
0.200000,videoplayback_001_1.webm,33,364,161,14,19,signalAhead
0.200000,videoplayback_001_1.webm,34,131,117,13,17,pedestrianCrossing
0.200000,videoplayback_001_1.webm,34,131,116,20,26,signalAhead
0.200000,videoplayback_001_1.webm,34,358,160,11,18,signalAhead
0.200000,videoplayback_001_1.webm,34,364,161,14,18,addedLane
0.200000,videoplayback_001_1.webm,35,123,110,23,30,signalAhead
0.200000,videoplayback_001_1.webm,35,358,160,11,18,signalAhead
