"","thresh","video","frame","x","y","w","h","class","overlap"
"1",0.2,"videoplayback_001_1.webm",1,100,154,26,29,"doNotPass",FALSE
"2",0.2,"videoplayback_001_1.webm",1,632,215,18,22,"speedLimitUrdbl",TRUE
"3",0.2,"videoplayback_001_1.webm",1,638,213,22,28,"stop",TRUE
"4",0.2,"videoplayback_001_1.webm",2,72,149,37,31,"stop",FALSE
"5",0.2,"videoplayback_001_1.webm",2,649,218,23,22,"speedLimit50",TRUE
"6",0.2,"videoplayback_001_1.webm",2,660,213,23,33,"stop",TRUE
"7",0.2,"videoplayback_001_1.webm",3,56,148,32,29,"doNotPass",FALSE
"8",0.2,"videoplayback_001_1.webm",3,680,208,17,34,"yield",TRUE
"9",0.2,"videoplayback_001_1.webm",4,43,142,25,27,"keepRight",FALSE
"10",0.2,"videoplayback_001_1.webm",5,13,132,21,35,"keepRight",TRUE
"11",0.2,"videoplayback_001_1.webm",5,4,123,19,47,"zoneAhead45",TRUE
"12",0.2,"videoplayback_001_1.webm",16,350,163,15,18,"signalAhead",TRUE
"13",0.2,"videoplayback_001_1.webm",16,357,164,16,19,"signalAhead",TRUE
"14",0.2,"videoplayback_001_1.webm",17,350,164,16,18,"signalAhead",TRUE
"15",0.2,"videoplayback_001_1.webm",17,356,164,18,19,"signalAhead",TRUE
"16",0.2,"videoplayback_001_1.webm",18,349,163,17,20,"signalAhead",TRUE
"17",0.2,"videoplayback_001_1.webm",18,355,163,19,21,"signalAhead",TRUE
"18",0.2,"videoplayback_001_1.webm",19,350,163,17,20,"signalAhead",TRUE
"19",0.2,"videoplayback_001_1.webm",19,356,163,19,21,"signalAhead",TRUE
"20",0.2,"videoplayback_001_1.webm",20,354,163,17,20,"signalAhead",TRUE
"21",0.2,"videoplayback_001_1.webm",20,359,163,20,21,"speedLimitUrdbl",TRUE
"22",0.2,"videoplayback_001_1.webm",21,357,162,16,19,"signalAhead",TRUE
"23",0.2,"videoplayback_001_1.webm",21,363,163,19,20,"signalAhead",TRUE
"24",0.2,"videoplayback_001_1.webm",22,358,162,13,17,"signalAhead",TRUE
"25",0.2,"videoplayback_001_1.webm",22,366,163,15,17,"signalAhead",TRUE
"26",0.2,"videoplayback_001_1.webm",23,355,162,13,17,"merge",TRUE
"27",0.2,"videoplayback_001_1.webm",23,361,164,15,17,"signalAhead",TRUE
"28",0.2,"videoplayback_001_1.webm",24,354,163,14,18,"merge",TRUE
"29",0.2,"videoplayback_001_1.webm",24,360,164,16,18,"signalAhead",TRUE
"30",0.2,"videoplayback_001_1.webm",25,354,162,13,17,"addedLane",TRUE
"31",0.2,"videoplayback_001_1.webm",25,360,164,14,17,"signalAhead",TRUE
"32",0.2,"videoplayback_001_1.webm",26,165,134,14,20,"signalAhead",TRUE
"33",0.2,"videoplayback_001_1.webm",26,174,137,12,16,"rampSpeedAdvisory50",TRUE
"34",0.2,"videoplayback_001_1.webm",26,356,160,12,18,"pedestrianCrossing",TRUE
"35",0.2,"videoplayback_001_1.webm",26,364,162,13,17,"signalAhead",TRUE
"36",0.2,"videoplayback_001_1.webm",27,169,133,12,17,"signalAhead",FALSE
"37",0.2,"videoplayback_001_1.webm",27,357,159,13,19,"pedestrianCrossing",TRUE
"38",0.2,"videoplayback_001_1.webm",27,364,162,14,17,"signalAhead",TRUE
"39",0.2,"videoplayback_001_1.webm",28,359,160,12,18,"merge",TRUE
"40",0.2,"videoplayback_001_1.webm",28,366,162,14,17,"signalAhead",TRUE
"41",0.2,"videoplayback_001_1.webm",29,360,161,13,18,"merge",TRUE
"42",0.2,"videoplayback_001_1.webm",29,367,163,15,17,"signalAhead",TRUE
"43",0.2,"videoplayback_001_1.webm",30,358,160,12,19,"signalAhead",TRUE
"44",0.2,"videoplayback_001_1.webm",30,364,162,14,18,"signalAhead",TRUE
"45",0.2,"videoplayback_001_1.webm",31,358,160,13,18,"signalAhead",TRUE
"46",0.2,"videoplayback_001_1.webm",31,362,162,15,18,"signalAhead",TRUE
"47",0.2,"videoplayback_001_1.webm",32,358,160,12,19,"signalAhead",TRUE
"48",0.2,"videoplayback_001_1.webm",32,363,162,15,19,"signalAhead",TRUE
"49",0.2,"videoplayback_001_1.webm",33,135,119,15,18,"pedestrianCrossing",TRUE
"50",0.2,"videoplayback_001_1.webm",33,135,116,22,28,"signalAhead",TRUE
"51",0.2,"videoplayback_001_1.webm",33,358,159,12,19,"signalAhead",TRUE
"52",0.2,"videoplayback_001_1.webm",33,364,161,14,19,"signalAhead",TRUE
"53",0.2,"videoplayback_001_1.webm",34,131,117,13,17,"pedestrianCrossing",TRUE
"54",0.2,"videoplayback_001_1.webm",34,131,116,20,26,"signalAhead",TRUE
"55",0.2,"videoplayback_001_1.webm",34,358,160,11,18,"signalAhead",TRUE
"56",0.2,"videoplayback_001_1.webm",34,364,161,14,18,"addedLane",TRUE
"57",0.2,"videoplayback_001_1.webm",35,123,110,23,30,"signalAhead",FALSE
"58",0.2,"videoplayback_001_1.webm",35,358,160,11,18,"signalAhead",TRUE
"59",0.2,"videoplayback_001_1.webm",35,364,162,15,19,"slow",TRUE
"60",0.2,"videoplayback_001_1.webm",36,118,108,21,29,"signalAhead",FALSE
"61",0.2,"videoplayback_001_1.webm",36,357,161,9,17,"school",TRUE
"62",0.2,"videoplayback_001_1.webm",36,363,162,14,18,"slow",TRUE
"63",0.2,"videoplayback_001_1.webm",37,112,101,24,33,"pedestrianCrossing",FALSE
"64",0.2,"videoplayback_001_1.webm",37,356,161,8,17,"school",TRUE
"65",0.2,"videoplayback_001_1.webm",37,362,161,14,18,"school",TRUE
"66",0.2,"videoplayback_001_1.webm",38,109,101,22,31,"signalAhead",FALSE
"67",0.2,"videoplayback_001_1.webm",38,357,160,8,17,"school",TRUE
"68",0.2,"videoplayback_001_1.webm",38,364,161,14,17,"signalAhead",TRUE
"69",0.2,"videoplayback_001_1.webm",38,481,164,11,16,"schoolSpeedLimit25",TRUE
"70",0.2,"videoplayback_001_1.webm",39,96,94,26,35,"pedestrianCrossing",FALSE
"71",0.2,"videoplayback_001_1.webm",39,359,158,8,20,"school",TRUE
"72",0.2,"videoplayback_001_1.webm",39,366,160,15,19,"slow",TRUE
"73",0.2,"videoplayback_001_1.webm",40,80,91,32,32,"pedestrianCrossing",FALSE
"74",0.2,"videoplayback_001_1.webm",40,360,158,12,20,"school",TRUE
"75",0.2,"videoplayback_001_1.webm",40,369,160,15,19,"slow",TRUE
"76",0.2,"videoplayback_001_1.webm",41,75,90,29,29,"signalAhead",FALSE
"77",0.2,"videoplayback_001_1.webm",41,362,156,14,20,"signalAhead",TRUE
"78",0.2,"videoplayback_001_1.webm",41,369,158,17,20,"slow",TRUE
"79",0.2,"videoplayback_001_1.webm",42,61,93,21,21,"schoolSpeedLimit25",FALSE
"80",0.2,"videoplayback_001_1.webm",42,363,157,13,20,"school",TRUE
"81",0.2,"videoplayback_001_1.webm",42,370,158,17,19,"rampSpeedAdvisory50",TRUE
"82",0.2,"videoplayback_001_1.webm",42,519,157,10,17,"pedestrianCrossing",TRUE
"83",0.2,"videoplayback_001_1.webm",42,524,159,14,15,"pedestrianCrossing",TRUE
"84",0.2,"videoplayback_001_1.webm",43,362,156,14,20,"school",TRUE
"85",0.2,"videoplayback_001_1.webm",43,370,157,18,20,"slow",TRUE
"86",0.2,"videoplayback_001_1.webm",43,530,157,17,17,"stopAhead",TRUE
"87",0.2,"videoplayback_001_1.webm",44,40,81,31,28,"schoolSpeedLimit25",FALSE
"88",0.2,"videoplayback_001_1.webm",44,363,157,14,19,"school",TRUE
"89",0.2,"videoplayback_001_1.webm",44,371,157,18,19,"slow",TRUE
"90",0.2,"videoplayback_001_1.webm",44,537,157,18,18,"schoolSpeedLimit25",TRUE
"91",0.2,"videoplayback_001_1.webm",45,30,78,30,25,"schoolSpeedLimit25",TRUE
"92",0.2,"videoplayback_001_1.webm",45,24,73,27,35,"schoolSpeedLimit25",TRUE
"93",0.2,"videoplayback_001_1.webm",45,366,156,15,19,"school",TRUE
"94",0.2,"videoplayback_001_1.webm",45,372,157,17,18,"school",TRUE
"95",0.2,"videoplayback_001_1.webm",45,549,153,12,18,"signalAhead",TRUE
"96",0.2,"videoplayback_001_1.webm",45,555,157,14,13,"signalAhead",TRUE
"97",0.2,"videoplayback_001_1.webm",46,369,156,15,19,"school",TRUE
"98",0.2,"videoplayback_001_1.webm",46,374,156,19,17,"addedLane",TRUE
"99",0.2,"videoplayback_001_1.webm",46,564,152,13,17,"pedestrianCrossing",TRUE
"100",0.2,"videoplayback_001_1.webm",46,568,155,14,14,"stopAhead",TRUE
"101",0.2,"videoplayback_001_1.webm",47,6,76,25,37,"keepRight",FALSE
"102",0.2,"videoplayback_001_1.webm",47,375,156,17,17,"school",TRUE
"103",0.2,"videoplayback_001_1.webm",48,372,157,14,18,"school",TRUE
"104",0.2,"videoplayback_001_1.webm",48,378,157,17,16,"school",TRUE
"105",0.2,"videoplayback_001_1.webm",48,607,153,13,14,"schoolSpeedLimit25",TRUE
"106",0.2,"videoplayback_001_1.webm",49,370,156,14,19,"schoolSpeedLimit25",TRUE
"107",0.2,"videoplayback_001_1.webm",49,377,155,17,18,"school",TRUE
"108",0.2,"videoplayback_001_1.webm",49,618,148,14,15,"pedestrianCrossing",TRUE
"109",0.2,"videoplayback_001_1.webm",50,370,155,17,19,"rampSpeedAdvisory50",TRUE
"110",0.2,"videoplayback_001_1.webm",50,378,154,20,20,"school",TRUE
"111",0.2,"videoplayback_001_1.webm",50,635,152,18,17,"schoolSpeedLimit25",TRUE
"112",0.2,"videoplayback_001_1.webm",51,369,154,18,21,"rampSpeedAdvisory50",TRUE
"113",0.2,"videoplayback_001_1.webm",51,378,155,20,20,"signalAhead",TRUE
"114",0.2,"videoplayback_001_1.webm",51,651,145,30,24,"schoolSpeedLimit25",TRUE
"115",0.2,"videoplayback_001_1.webm",52,370,154,18,22,"school",TRUE
"116",0.2,"videoplayback_001_1.webm",52,379,155,19,20,"signalAhead",TRUE
"117",0.2,"videoplayback_001_1.webm",52,677,152,14,19,"speedLimit40",TRUE
"118",0.2,"videoplayback_001_1.webm",52,686,150,13,23,"speedLimitUrdbl",TRUE
"119",0.2,"videoplayback_001_1.webm",53,373,153,19,23,"schoolSpeedLimit25",TRUE
"120",0.2,"videoplayback_001_1.webm",53,381,154,19,22,"signalAhead",TRUE
"121",0.2,"videoplayback_001_1.webm",54,374,152,17,25,"schoolSpeedLimit25",TRUE
"122",0.2,"videoplayback_001_1.webm",54,382,152,18,24,"signalAhead",TRUE
"123",0.2,"videoplayback_001_1.webm",55,375,153,17,24,"schoolSpeedLimit25",TRUE
"124",0.2,"videoplayback_001_1.webm",55,384,152,17,23,"signalAhead",TRUE
"125",0.2,"videoplayback_001_1.webm",56,376,153,17,23,"schoolSpeedLimit25",TRUE
"126",0.2,"videoplayback_001_1.webm",56,385,152,18,23,"signalAhead",TRUE
"127",0.2,"videoplayback_001_1.webm",57,377,152,17,23,"school",TRUE
"128",0.2,"videoplayback_001_1.webm",57,386,151,18,22,"signalAhead",TRUE
"129",0.2,"videoplayback_001_1.webm",58,376,152,18,22,"school",TRUE
"130",0.2,"videoplayback_001_1.webm",58,386,151,18,21,"signalAhead",TRUE
"131",0.2,"videoplayback_001_1.webm",59,378,151,19,22,"school",TRUE
"132",0.2,"videoplayback_001_1.webm",59,388,150,19,23,"school",TRUE
"133",0.2,"videoplayback_001_1.webm",60,377,151,17,23,"schoolSpeedLimit25",TRUE
"134",0.2,"videoplayback_001_1.webm",60,390,150,19,24,"school",TRUE
"135",0.2,"videoplayback_001_1.webm",61,389,151,19,23,"school",FALSE
"136",0.2,"videoplayback_001_1.webm",62,415,142,18,26,"signalAhead",TRUE
"137",0.2,"videoplayback_001_1.webm",62,398,145,23,25,"addedLane",TRUE
"138",0.2,"videoplayback_001_1.webm",63,412,142,21,27,"signalAhead",TRUE
"139",0.2,"videoplayback_001_1.webm",63,399,144,24,25,"merge",TRUE
"140",0.2,"videoplayback_001_1.webm",64,411,141,21,29,"signalAhead",TRUE
"141",0.2,"videoplayback_001_1.webm",64,400,144,23,26,"rampSpeedAdvisory50",TRUE
"142",0.2,"videoplayback_001_1.webm",65,414,140,21,28,"signalAhead",TRUE
"143",0.2,"videoplayback_001_1.webm",65,403,144,21,25,"rampSpeedAdvisory50",TRUE
"144",0.2,"videoplayback_001_1.webm",66,413,141,21,28,"merge",TRUE
"145",0.2,"videoplayback_001_1.webm",66,405,144,20,24,"rampSpeedAdvisory50",TRUE
"146",0.2,"videoplayback_001_1.webm",67,413,143,20,27,"signalAhead",FALSE
"147",0.2,"videoplayback_001_1.webm",68,413,142,21,29,"rampSpeedAdvisory50",FALSE
"148",0.2,"videoplayback_001_1.webm",69,418,140,18,28,"merge",TRUE
"149",0.2,"videoplayback_001_1.webm",69,414,144,16,23,"rampSpeedAdvisory50",TRUE
"150",0.2,"videoplayback_001_1.webm",70,417,140,19,26,"rampSpeedAdvisory50",FALSE
"151",0.2,"videoplayback_001_1.webm",71,417,138,21,27,"rampSpeedAdvisory50",FALSE
"152",0.2,"videoplayback_001_1.webm",72,419,138,20,27,"rampSpeedAdvisory50",FALSE
"153",0.2,"videoplayback_001_1.webm",73,420,136,23,29,"rampSpeedAdvisory50",FALSE
"154",0.2,"videoplayback_001_1.webm",74,426,136,21,28,"rampSpeedAdvisory50",FALSE
"155",0.2,"videoplayback_001_1.webm",75,430,135,22,29,"rampSpeedAdvisory50",FALSE
"156",0.2,"videoplayback_001_1.webm",76,434,135,22,30,"rampSpeedAdvisory50",FALSE
"157",0.2,"videoplayback_001_1.webm",77,436,134,21,29,"rampSpeedAdvisory50",FALSE
"158",0.2,"videoplayback_001_1.webm",78,440,133,21,29,"rampSpeedAdvisory50",FALSE
"159",0.2,"videoplayback_001_1.webm",79,443,131,23,31,"rampSpeedAdvisory50",FALSE
"160",0.2,"videoplayback_001_1.webm",80,447,130,21,30,"rampSpeedAdvisory50",TRUE
"161",0.2,"videoplayback_001_1.webm",80,447,139,14,22,"slow",TRUE
"162",0.2,"videoplayback_001_1.webm",81,451,130,21,31,"rampSpeedAdvisory50",TRUE
"163",0.2,"videoplayback_001_1.webm",81,451,141,13,22,"slow",TRUE
"164",0.2,"videoplayback_001_1.webm",82,452,119,24,35,"merge",TRUE
"165",0.2,"videoplayback_001_1.webm",82,460,135,19,27,"pedestrianCrossing",TRUE
"166",0.2,"videoplayback_001_1.webm",83,456,119,23,34,"merge",TRUE
"167",0.2,"videoplayback_001_1.webm",83,450,117,18,30,"signalAhead",TRUE
"168",0.2,"videoplayback_001_1.webm",84,459,119,25,35,"merge",TRUE
"169",0.2,"videoplayback_001_1.webm",84,455,117,20,31,"signalAhead",TRUE
"170",0.2,"videoplayback_001_1.webm",85,463,118,25,35,"merge",TRUE
"171",0.2,"videoplayback_001_1.webm",85,459,116,20,31,"signalAhead",TRUE
"172",0.2,"videoplayback_001_1.webm",86,469,115,23,33,"merge",TRUE
"173",0.2,"videoplayback_001_1.webm",86,464,114,17,28,"signalAhead",TRUE
"174",0.2,"videoplayback_001_1.webm",87,472,112,22,34,"signalAhead",FALSE
"175",0.2,"videoplayback_001_1.webm",88,476,112,24,36,"merge",TRUE
"176",0.2,"videoplayback_001_1.webm",88,470,110,19,31,"signalAhead",TRUE
"177",0.2,"videoplayback_001_1.webm",89,483,110,23,36,"merge",FALSE
"178",0.2,"videoplayback_001_1.webm",90,487,107,27,39,"merge",TRUE
"179",0.2,"videoplayback_001_1.webm",90,478,106,21,32,"signalAhead",TRUE
"180",0.2,"videoplayback_001_1.webm",91,488,108,23,32,"rampSpeedAdvisory50",FALSE
"181",0.2,"videoplayback_001_1.webm",93,253,178,11,16,"pedestrianCrossing",FALSE
"182",0.2,"videoplayback_001_1.webm",94,515,102,17,26,"school",TRUE
"183",0.2,"videoplayback_001_1.webm",94,516,96,27,41,"merge",TRUE
"184",0.2,"videoplayback_001_1.webm",96,253,180,12,15,"stop",FALSE
"185",0.2,"videoplayback_001_1.webm",97,255,181,11,15,"signalAhead",FALSE
"186",0.2,"videoplayback_001_1.webm",98,255,180,12,17,"signalAhead",FALSE
"187",0.2,"videoplayback_001_1.webm",99,254,179,12,17,"school",FALSE
"188",0.2,"videoplayback_001_1.webm",100,253,179,13,17,"stop",FALSE
"189",0.2,"videoplayback_001_1.webm",101,251,179,14,18,"stop",FALSE
"190",0.2,"videoplayback_001_1.webm",102,249,178,14,18,"pedestrianCrossing",FALSE
"191",0.2,"videoplayback_001_1.webm",103,234,177,11,14,"yieldAhead",FALSE
"192",0.2,"videoplayback_001_1.webm",103,246,177,16,18,"pedestrianCrossing",TRUE
"193",0.2,"videoplayback_001_1.webm",104,232,176,12,14,"merge",TRUE
"194",0.2,"videoplayback_001_1.webm",104,242,177,17,18,"pedestrianCrossing",TRUE
"195",0.2,"videoplayback_001_1.webm",105,229,176,14,13,"merge",TRUE
"196",0.2,"videoplayback_001_1.webm",105,239,176,19,18,"signalAhead",TRUE
"197",0.2,"videoplayback_001_1.webm",105,690,171,13,23,"rampSpeedAdvisoryUrdbl",TRUE
"198",0.2,"videoplayback_001_1.webm",106,227,176,14,13,"merge",TRUE
"199",0.2,"videoplayback_001_1.webm",106,236,176,20,18,"stopAhead",TRUE
